,"Matrices y determinantes: clasificación, propiedades, operaciones y aplicaciones (grafos y modelización de situaciones reales).","Demostraciones numéricas sencillas (inducción, deducción…)",Técnicas y estrategias de resolución de problemas relacionados con los cuerpos numéricos y estructuras,"Reconocimiento del error como elemento de aprendizaje en la selección u obtención de soluciones numéricas, matriciales, etc.",Desarrollo histórico del sentido numérico. Aplicaciones de los conjuntos numéricos,Resolución de problemas mediante ecuaciones e inecuaciones.,"Interpretación gráfica de las soluciones de ecuaciones, inecuaciones y sistemas con y sin medios tecnológicos",Método de Gauss.,Discusión y resolución de sistemas de ecuaciones lineales. Regla de Cramer.,Resolución de problemas algebraicos mediante matrices y determinantes.,Desarrollo del histórico del álgebra y valoración de su uso en el avance de la ciencia y la tecnología.,"Flexibilidad en el uso de varias estrategias, técnicas o métodos de resolución de situaciones problemáticas susceptibles de modelación algebraica.","Autonomía, tolerancia ante el error, perseverancia en el aprendizaje de aspectos asociados al sentido algebraico","Funciones básicas: polinómica, racional e irracional, definidas a tramos, exponencial, logarítmica, trigonométrica, periódica, valor absoluto. Características necesarias para la construcción gráfica.",Continuidad y discontinuidad. Asíntotas y ramas,Estimación de límites mediante tablas o gráficas. Cálculo de límites en un punto y en el infinito. Indeterminaciones. Infinitos e infinitésimos. Regla de L’Hôpital.,Teoremas de Bolzano y Weierstrass,Resolución de problemas y modelización mediante funciones,Programas informáticos de geometría dinámica. Calculadoras gráficas.,Desarrollo histórico del análisis sobre funciones y sus aplicaciones. Valoración de los usos científicos de las funciones,"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados a las relaciones y funciones",Reglas y técnicas de derivación. Cálculo de derivadas,Derivabilidad de una función. Teoremas de Rolle y del valor medio.,"Uso de la derivada en contextos STEM: representación gráfica, estudio del cambio y optimización.",Primitiva de una función. Integrales inmediatas y técnicas para el cálculo de primitivas (resolución por partes y sustitución),Integral definida. Propiedades. Teorema fundamental del cálculo integral.,Regla de Barrow. Área de superficies planas y volúmenes de revolución.,"Desarrollo histórico del cálculo de integrales y derivadas, así como de sus aplicaciones.","Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados al cálculo y utilización de la integral y derivada de una función.","Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados al cálculo y utilización de la geometría","Vectores libres en el plano. Operaciones geométricas básicas y sus propiedades. Producto escalar, vectorial y mixto.","Dependencia e independencia lineal. Bases ortogonales y ortonormales. Sistemas de referencia, coordenadas de un vector respecto de una base.",Representación de objetos geométricos en el plano con y sin medios tecnológicos.,"Ecuaciones rectas y planos en el espacio. Posiciones relativas. Problemas métricos en el espacio: distancias, ángulos, superficies y volúmenes.",Desarrollo histórico de la geometría analítica y sus aplicaciones. Valoración de los usos en contextos científicos,Experimentos aleatorios y sucesos. Frecuencias e idea intuitiva de probabilidad. Sucesos. Dependencia e independencia de sucesos,Estrategias de recuento para el cálculo de probabilidades. Diagramas de árbol y tablas de contingencia. Regla de Laplace,Probabilidad condicionada. Teoremas: probabilidad total y Bayes,Modelización de fenómenos estocásticos mediante distribuciones binomial y normal. Utilización de herramientas tecnológicas para el cálculo de probabilidades cuando sea necesario.,Desarrollo histórico de la probabilidad y sus aplicaciones. Valoración de los usos científicos.,"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados a distribuciones y el cálculo de probabilidades",Estrategias de resolución de problemas. Modelización de fenómenos,"Demostraciones sencillas (métodos de reducción al absurdo, inducción completa, razonamiento deductivo…)","Calculadora, hoja de cálculo o software específico. Toma de decisiones: utilización de conclusiones derivadas del tratamiento computacional.","Perseverancia, iniciativa y flexibilidad en la resolución de situaciones problemáticas susceptibles de error o no exentos de dificultades relacionados con las formas de razonamiento lógico-matemático o del uso de medios tecnológicos específicos."
"Funciones básicas: polinómica, racional e irracional, definidas a tramos, exponencial, logarítmica, trigonométrica, periódica, valor absoluto. Características necesarias para la construcción gráfica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1,3,2,1,1,1,1,1,1,3,3,3,0,0,0,0,0,3,0,0,1,1,3,0,3,0,1,0
Continuidad y discontinuidad. Asíntotas y ramas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,0,3,1,3,1,3,3,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
Estimación de límites mediante tablas o gráficas. Cálculo de límites en un punto y en el infinito. Indeterminaciones. Infinitos e infinitésimos. Regla de L’Hôpital.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,2,3,1,1,1,3,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
Teoremas de Bolzano y Weierstrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3
Resolución de problemas y modelización mediante funciones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,3,1,2,3,3,0,2,1,0,0,0,3,3,3,3,0,3,3,2,2,3,3,1,3
Programas informáticos de geometría dinámica. Calculadoras gráficas.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,3,0,3,3,3,2,3,2,2,0,0,0,0,0,0,3,0,0,3
Desarrollo histórico del análisis sobre funciones y sus aplicaciones. Valoración de los usos científicos de las funciones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,3,3,1,0,0,0,0,0,0,1,3,1,0,1,3,3,0,1,3
"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados a las relaciones y funciones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,2,3,3,3,3,3,0,0,0,0,0,0,0,0,0,3,3,2,3,3,3
Reglas y técnicas de derivación. Cálculo de derivadas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1
Derivabilidad de una función. Teoremas de Rolle y del valor medio.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,0,2,1,3,0,0,0,0,2,0,0,0,0,0,0,3,3,1,3
"Uso de la derivada en contextos STEM: representación gráfica, estudio del cambio y optimización.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1
Primitiva de una función. Integrales inmediatas y técnicas para el cálculo de primitivas (resolución por partes y sustitución),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0
Integral definida. Propiedades. Teorema fundamental del cálculo integral.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,0,0,0,0,0,0,0,3,0,3,3,3,2,3,3,0
Regla de Barrow. Área de superficies planas y volúmenes de revolución.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
"Desarrollo histórico del cálculo de integrales y derivadas, así como de sus aplicaciones.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3
"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados al cálculo y utilización de la integral y derivada de una función.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1
"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados al cálculo y utilización de la geometría",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,0,0,0,0,0,0,2,0,3,3
"Vectores libres en el plano. Operaciones geométricas básicas y sus propiedades. Producto escalar, vectorial y mixto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,0,0,0,0,0,0,3,0,3,1
"Dependencia e independencia lineal. Bases ortogonales y ortonormales. Sistemas de referencia, coordenadas de un vector respecto de una base.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,0,0,0,0,0,0,1,0,3,3
Representación de objetos geométricos en el plano con y sin medios tecnológicos.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,3,3
"Ecuaciones rectas y planos en el espacio. Posiciones relativas. Problemas métricos en el espacio: distancias, ángulos, superficies y volúmenes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,2,0,3,3
Desarrollo histórico de la geometría analítica y sus aplicaciones. Valoración de los usos en contextos científicos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,3,3,3,3
Experimentos aleatorios y sucesos. Frecuencias e idea intuitiva de probabilidad. Sucesos. Dependencia e independencia de sucesos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,1,1,1,0,1
Estrategias de recuento para el cálculo de probabilidades. Diagramas de árbol y tablas de contingencia. Regla de Laplace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,3,0,1,0
Probabilidad condicionada. Teoremas: probabilidad total y Bayes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,3,3,3
Modelización de fenómenos estocásticos mediante distribuciones binomial y normal. Utilización de herramientas tecnológicas para el cálculo de probabilidades cuando sea necesario.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,0,1,3
Desarrollo histórico de la probabilidad y sus aplicaciones. Valoración de los usos científicos.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,3,0
"Perseverancia y flexibilidad en el cambio de estrategias, técnicas o métodos asociados a distribuciones y el cálculo de probabilidades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,3,3
Estrategias de resolución de problemas. Modelización de fenómenos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3
"Demostraciones sencillas (métodos de reducción al absurdo, inducción completa, razonamiento deductivo…)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Calculadora, hoja de cálculo o software específico. Toma de decisiones: utilización de conclusiones derivadas del tratamiento computacional.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Perseverancia, iniciativa y flexibilidad en la resolución de situaciones problemáticas susceptibles de error o no exentos de dificultades relacionados con las formas de razonamiento lógico-matemático o del uso de medios tecnológicos específicos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
